,Symbol,Description,Category2,Category3,Sector,Market cap,Dividend yield,Country,Action
0,AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"$2,958,565,571,010",0.48%,USA,Analyze
1,MSFT,Microsoft Corp,Common stocks,Large cap,Information Technology,"$2,571,107,903,048",0.67%,USA,Analyze
2,GOOG,Alphabet Inc Class C,Common stocks,Large cap,Communication Services,"$1,999,370,402,570",0.00%,USA,Analyze
3,GOOGL,Alphabet Inc Class A,Common stocks,Large cap,Communication Services,"$1,999,370,402,570",0.00%,USA,Analyze
4,AMZN,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"$1,720,949,662,232",0.00%,USA,Analyze
5,TSLA,Tesla Inc,Common stocks,Large cap,Consumer Discretionary,"$1,098,605,492,197",0.00%,USA,Analyze
6,FB,Facebook Inc Class A,Common stocks,Large cap,Communication Services,"$987,997,764,311",0.00%,USA,Analyze
7,NVDA,Nvidia Corp,Common stocks,Large cap,Information Technology,"$773,625,000,000",0.05%,USA,Analyze
8,BRK.B,Berkshire Hathaway Inc. Class B,Common stocks,Large cap,Financials,"$663,882,913,846",0.00%,USA,Analyze
9,V,Visa Inc Class A,Common stocks,Large cap,Information Technology,"$479,656,520,000",0.61%,USA,Analyze
10,UNH,Unitedhealth Group Inc,Common stocks,Large cap,Health Care,"$470,454,699,375",1.12%,USA,Analyze
11,JPM,JP Morgan Chase & Co,Common stocks,Large cap,Financials,"$467,404,880,208",2.32%,USA,Analyze
12,JNJ,Johnson & Johnson,Common stocks,Large cap,Health Care,"$446,672,727,730",2.45%,USA,Analyze
13,HD,Home Depot Inc,Common stocks,Large cap,Consumer Discretionary,"$421,966,609,034",1.62%,USA,Analyze
14,PG,Procter & Gamble,Common stocks,Large cap,Consumer Staples,"$391,958,948,243",2.08%,USA,Analyze
15,WMT,Walmart Stores Inc,Common stocks,Large cap,Consumer Staples,"$390,451,131,748",1.55%,USA,Analyze
16,BAC,Bank of America Corp,Common stocks,Large cap,Financials,"$365,337,511,188",1.74%,USA,Analyze
17,MA,Mastercard Inc Class A,Common stocks,Large cap,Information Technology,"$351,197,436,181",0.49%,USA,Analyze
18,PFE,Pfizer Inc,Common stocks,Large cap,Health Care,"$332,281,702,602",2.60%,USA,Analyze
19,AVGO,Broadcom Inc.,Common stocks,Large cap,Information Technology,"$278,392,659,143",2.72%,USA,Analyze
20,DIS,Walt Disney,Common stocks,Large cap,Communication Services,"$277,737,828,854",0.58%,USA,Analyze
21,ADBE,Adobe Inc,Common stocks,Large cap,Information Technology,"$275,206,752,000",0.00%,USA,Analyze
22,ACN,Accenture Plc Class A,Common stocks,Large cap,Information Technology,"$273,425,353,102",0.87%,USA,Analyze
23,NFLX,Netflix Inc,Common stocks,Large cap,Communication Services,"$270,873,355,305",0.00%,USA,Analyze
24,CSCO,Cisco Systems Inc,Common stocks,Large cap,Information Technology,"$267,480,607,718",2.29%,USA,Analyze
25,LLY,Eli Lilly,Common stocks,Large cap,Health Care,"$266,324,888,135",1.21%,USA,Analyze
26,NKE,Nike Inc Class B,Common stocks,Large cap,Consumer Discretionary,"$263,072,114,081",0.67%,USA,Analyze
27,XOM,Exxon Mobil Corp,Common stocks,Large cap,Energy,"$262,015,451,666",5.52%,USA,Analyze
28,TMO,Thermo Fisher Scientific Inc,Common stocks,Large cap,Health Care,"$260,942,583,692",0.16%,USA,Analyze
29,CRM,Salesforce.Com Inc,Common stocks,Large cap,Information Technology,"$254,425,500,000",0.00%,USA,Analyze
30,KO,Coca-Cola,Common stocks,Large cap,Consumer Staples,"$253,333,996,841",2.83%,USA,Analyze
31,ABT,Abbott Laboratories,Common stocks,Large cap,Health Care,"$250,141,874,635",1.27%,USA,Analyze
32,COST,Costco Wholesale Corp,Common stocks,Large cap,Consumer Staples,"$249,860,902,886",0.54%,USA,Analyze
33,ORCL,Oracle Corp,Common stocks,Large cap,Information Technology,"$239,111,824,380",1.33%,USA,Analyze
34,ABBV,Abbvie Inc,Common stocks,Large cap,Health Care,"$237,526,063,256",3.80%,USA,Analyze
35,PEP,Pepsico Inc,Common stocks,Large cap,Consumer Staples,"$237,083,500,136",2.45%,USA,Analyze
36,DHR,Danaher Corp,Common stocks,Large cap,Health Care,"$233,959,612,352",0.19%,USA,Analyze
37,CMCSA,Comcast A Corp,Common stocks,Large cap,Communication Services,"$230,116,888,475",1.93%,USA,Analyze
38,CVX,Chevron Corp,Common stocks,Large cap,Energy,"$228,989,810,318",4.39%,USA,Analyze
39,PYPL,Paypal Holdings Inc,Common stocks,Large cap,Information Technology,"$225,598,342,326",0.00%,USA,Analyze
40,VZ,Verizon Communications Inc,Common stocks,Large cap,Communication Services,"$221,138,726,892",5.94%,USA,Analyze
41,INTC,Intel Corporation Corp,Common stocks,Large cap,Information Technology,"$211,239,980,000",2.65%,USA,Analyze
42,QCOM,Qualcomm Inc,Common stocks,Large cap,Information Technology,"$208,689,600,000",1.45%,USA,Analyze
43,MCD,Mcdonalds Corp,Common stocks,Large cap,Consumer Discretionary,"$200,441,113,338",1.94%,USA,Analyze
44,WFC,Wells Fargo,Common stocks,Large cap,Financials,"$200,269,640,719",1.22%,USA,Analyze
45,MRK,Merck & Co Inc,Common stocks,Large cap,Health Care,"$193,411,527,180",3.40%,USA,Analyze
46,AMD,Advanced Micro Devices Inc,Common stocks,Large cap,Information Technology,"$186,406,749,834",0.00%,USA,Analyze
47,UPS,United Parcel Service Inc Class B,Common stocks,Large cap,Industrials,"$185,941,084,000",1.88%,USA,Analyze
48,MS,Morgan Stanley,Common stocks,Large cap,Financials,"$180,158,960,182",2.08%,USA,Analyze
49,NEE,Nextera Energy Inc,Common stocks,Large cap,Utilities,"$178,902,268,017",1.68%,USA,Analyze
50,INTU,Intuit Inc,Common stocks,Large cap,Information Technology,"$178,888,349,428",0.37%,USA,Analyze
